date,litecoin,trend_relative_diff,trend_log_return
2022-12-31,41,0.07894736842105263,0.07598590697792205
2023-01-01,42,0.07692307692307693,0.07410797215372183
2023-01-02,46,0.09523809523809523,0.09097177820572679
2023-01-03,42,-0.08695652173913043,-0.09097177820572676
2023-01-04,42,0.0,0.0
2023-01-05,35,-0.16666666666666666,-0.1823215567939546
2023-01-06,36,0.02857142857142857,0.028170876966696224
2023-01-07,34,-0.05555555555555555,-0.05715841383994864
2023-01-08,44,0.29411764705882354,0.25782910930209985
2023-01-09,46,0.045454545454545456,0.044451762570833796
2023-01-10,40,-0.13043478260869565,-0.13976194237515874
2023-01-11,45,0.125,0.11778303565638346
2023-01-12,45,0.0,0.0
2023-01-13,45,0.0,0.0
2023-01-14,56,0.24444444444444444,0.2186892009648295
2023-01-15,48,-0.14285714285714285,-0.15415067982725836
2023-01-16,50,0.041666666666666664,0.0408219945202552
2023-01-17,48,-0.04,-0.040821994520255166
2023-01-18,43,-0.10416666666666667,-0.11000089521432846
2023-01-19,43,0.0,0.0
2023-01-20,43,0.0,0.0
2023-01-21,50,0.16279069767441862,0.1508228897345837
2023-01-22,47,-0.06,-0.06187540371808753
2023-01-23,47,0.0,0.0
2023-01-24,43,-0.0851063829787234,-0.08894748601649617
2023-01-25,40,-0.06976744186046512,-0.07232066157962613
2023-01-26,41,0.025,0.024692612590371414
2023-01-27,39,-0.04878048780487805,-0.05001042057466142
2023-01-28,36,-0.07692307692307693,-0.08004270767353637
2023-01-29,62,0.7222222222222222,0.5436154465889816
2023-01-30,46,-0.25806451612903225,-0.29849298855599654
2023-01-31,44,-0.043478260869565216,-0.04445176257083381
2023-02-01,49,0.11363636363636363,0.10763066419236536
2023-02-02,56,0.14285714285714285,0.13353139262452257
2023-02-03,46,-0.17857142857142858,-0.19671029424605427
2023-02-04,46,0.0,0.0
2023-02-05,46,0.0,0.0
2023-02-06,40,-0.13043478260869565,-0.13976194237515874
2023-02-07,44,0.1,0.09531017980432493
2023-02-08,44,0.0,0.0
2023-02-09,40,-0.09090909090909091,-0.0953101798043249
2023-02-10,38,-0.05,-0.05129329438755058
2023-02-11,36,-0.05263157894736842,-0.05406722127027582
2023-02-12,36,0.0,0.0
2023-02-13,34,-0.05555555555555555,-0.05715841383994864
2023-02-14,36,0.058823529411764705,0.05715841383994862
2023-02-15,41,0.1388888888888889,0.13005312824819776
2023-02-16,45,0.0975609756097561,0.09309042306601203
2023-02-17,42,-0.06666666666666667,-0.06899287148695143
2023-02-18,39,-0.07142857142857142,-0.07410797215372185
2023-02-19,40,0.02564102564102564,0.025317807984289786
2023-02-20,42,0.05,0.04879016416943205
2023-02-21,42,0.0,0.0
2023-02-22,38,-0.09523809523809523,-0.10008345855698253
2023-02-23,30,-0.21052631578947367,-0.2363887780642304
2023-02-24,31,0.03333333333333333,0.03278982282299097
2023-02-25,32,0.03225806451612903,0.03174869831458027
2023-02-26,30,-0.0625,-0.06453852113757118
2023-02-27,35,0.16666666666666666,0.15415067982725836
2023-02-28,36,0.02857142857142857,0.028170876966696224
2023-03-01,35,-0.027777777777777776,-0.028170876966696335
2023-03-02,32,-0.08571428571428572,-0.08961215868968717
2023-03-03,37,0.15625,0.1451820098444979
2023-03-04,31,-0.16216216216216217,-0.17693070815907821
2023-03-05,32,0.03225806451612903,0.03174869831458027
2023-03-06,36,0.125,0.11778303565638346
2023-03-07,30,-0.16666666666666666,-0.1823215567939546
2023-03-08,31,0.03333333333333333,0.03278982282299097
2023-03-09,36,0.16129032258064516,0.14953173397096384
2023-03-10,42,0.16666666666666666,0.15415067982725836
2023-03-11,43,0.023809523809523808,0.023530497410194036
2023-03-12,37,-0.13953488372093023,-0.150282203049338
2023-03-13,45,0.21621621621621623,0.19574457712609533
2023-03-14,40,-0.1111111111111111,-0.11778303565638351
2023-03-15,37,-0.075,-0.0779615414697118
2023-03-16,39,0.05405405405405406,0.05264373348542188
2023-03-17,40,0.02564102564102564,0.025317807984289786
2023-03-18,38,-0.05,-0.05129329438755058
2023-03-19,37,-0.02631578947368421,-0.026668247082161294
2023-03-20,42,0.13513513513513514,0.1267517056391438
2023-03-21,38,-0.09523809523809523,-0.10008345855698253
2023-03-22,41,0.07894736842105263,0.07598590697792205
2023-03-23,52,0.2682926829268293,0.23767165187711956
2023-03-24,46,-0.11538461538461539,-0.12260232209233239
2023-03-25,43,-0.06521739130434782,-0.06744128079553253
2023-03-26,43,0.0,0.0
2023-03-27,42,-0.023255813953488372,-0.02353049741019416
2023-03-28,40,-0.047619047619047616,-0.048790164169432056
2023-03-29,40,0.0,0.0
2023-03-30,39,-0.025,-0.025317807984289897
2023-03-31,42,0.07692307692307693,0.07410797215372183
