date,ethereum,trend_diff,trend_log_return
2023-09-19,37,-4.0,-0.1026541540600833
2023-09-20,38,1.0,0.0266682470821612
2023-09-21,39,1.0,0.0259754864032607
2023-09-22,37,-2.0,-0.052643733485422
2023-09-23,33,-4.0,-0.1144103511777442
2023-09-24,30,-3.0,-0.0953101798043249
2023-09-25,36,6.0,0.1823215567939546
2023-09-26,35,-1.0,-0.0281708769666963
2023-09-27,39,4.0,0.1082135846402327
2023-09-28,39,0.0,0.0
2023-09-29,39,0.0,0.0
2023-09-30,35,-4.0,-0.1082135846402327
2023-10-01,39,4.0,0.1082135846402327
2023-10-02,45,6.0,0.1431008436406732
2023-10-03,37,-8.0,-0.1957445771260953
2023-10-04,37,0.0,0.0
2023-10-05,37,0.0,0.0
2023-10-06,37,0.0,0.0
2023-10-07,31,-6.0,-0.1769307081590782
2023-10-08,31,0.0,0.0
2023-10-09,36,5.0,0.1495317339709638
2023-10-10,35,-1.0,-0.0281708769666963
2023-10-11,37,2.0,0.0555698511548107
2023-10-12,36,-1.0,-0.0273989741881143
2023-10-13,36,0.0,0.0
2023-10-14,32,-4.0,-0.1177830356563835
2023-10-15,32,0.0,0.0
2023-10-16,39,7.0,0.1978257433299198
2023-10-17,37,-2.0,-0.052643733485422
2023-10-18,37,0.0,0.0
2023-10-19,35,-2.0,-0.0555698511548107
2023-10-20,40,5.0,0.1335313926245225
2023-10-21,36,-4.0,-0.1053605156578262
2023-10-22,36,0.0,0.0
2023-10-23,49,13.0,0.3083013596545166
2023-10-24,83,34.0,0.5270203096859714
2023-10-25,63,-20.0,-0.2757058814050652
2023-10-26,56,-7.0,-0.1177830356563835
2023-10-27,44,-12.0,-0.2411620568168881
2023-10-28,42,-2.0,-0.0465200156348928
2023-10-29,42,0.0,0.0
2023-10-30,49,7.0,0.1541506798272583
2023-10-31,46,-3.0,-0.0631789016215315
2023-11-01,48,2.0,0.0425596144187959
2023-11-02,52,4.0,0.0800427076735363
2023-11-03,49,-3.0,-0.0594234204708007
2023-11-04,46,-3.0,-0.0631789016215315
2023-11-05,50,4.0,0.083381608939051
2023-11-06,52,2.0,0.0392207131532813
2023-11-07,52,0.0,0.0
2023-11-08,51,-1.0,-0.0194180858571016
2023-11-09,94,43.0,0.6114691495456781
2023-11-10,100,6.0,0.0618754037180874
2023-11-11,69,-31.0,-0.371063681390832
2023-11-12,60,-9.0,-0.1397619423751587
2023-11-13,65,5.0,0.0800427076735363
2023-11-14,64,-1.0,-0.0155041865359651
2023-11-15,65,1.0,0.0155041865359652
2023-11-16,60,-5.0,-0.0800427076735363
2023-11-17,53,-7.0,-0.1240526486699788
