date,open,high,low,close,volumefrom,volumeto,supply,market_cap,price_log_return,volumefrom_log_return,market_cap_log_return,volatility_5d,volatility_10d,volatility_30d,volatility_5d_log_return,volatility_10d_log_return,volatility_30d_log_return
2019-07-05,11156.52,11435.38,10787.94,10993.25,66066.75,734424868.07,17800796.0449724,195688601121.39285,-0.014742632284845,-0.0739986503294569,-0.0146099046932267,0.0632498655187454,0.0868235202321491,0.0551075026480913,-0.2186290837694151,-0.0288770648716755,0.0040234599599017
2019-07-06,10993.25,11709.27,10985.4,11248.94,48172.2,549769169.13,17803021.0449724,200265115553.63184,0.0229924539061307,-0.315883503400116,0.0231174405050267,0.0624820713471848,0.0801623780646812,0.0551166932721263,-0.0122133442739662,-0.0798232520048396,0.0001667623697251
2019-07-07,11248.94,11605.43,11109.42,11474.28,36847.21,418161890.29,17804933.5449724,204298792876.4059,0.0198341068909991,-0.268002187757369,0.019941526709063,0.0623334541489865,0.0654927195234847,0.0550856838229816,-0.0023813907419264,-0.2021153192219573,-0.0005627727963871
2019-07-08,11474.28,12386.28,11339.02,12296.16,63847.27,762033323.29,17807158.5449723,218959670614.3466,0.0691790096333647,0.5497139216823436,0.0693039671897573,0.052157172187848,0.0605623853402461,0.0559058110599158,-0.1782365644449089,-0.0782649877476372,0.0147784686434783
2019-07-09,12296.16,12808.06,12117.31,12567.02,79607.47,993891866.34,17809083.5449724,223807109091.33908,0.0217889035880851,0.2206141075643389,0.0218970003377149,0.0298547041053017,0.0593151942151691,0.0550489926158891,-0.5579192830689502,-0.020808496993686,-0.0154447657560007
2019-07-10,12567.02,13183.73,11569.94,12099.12,124523.09,1554955347.89,17810696.0449724,215493748731.64648,-0.0379431994162515,0.4473832278878801,-0.0378526598329265,0.0380287044203993,0.0498365205626486,0.0555861898329741,0.2419988351653141,-0.1741174395124746,0.0097112225426578
2019-07-11,12099.12,12099.91,11002.39,11343.12,102929.11,1185222449.66,17812308.5449724,202047153302.64737,-0.064521329952417,-0.1904506617082091,-0.0644307985657659,0.0530157267704055,0.0549014724436964,0.0572115969160832,0.33224734699803,0.0967921087275588,0.028821835019257
2019-07-12,11343.12,11931.91,11096.61,11797.37,55994.89,647690095.15,17814358.5449724,210162579067.70108,0.0392652325411514,-0.6087800622764056,0.0393803148752404,0.0553414839189783,0.0556527080616698,0.0573154410916269,0.0429341875283459,0.0135905702977011,0.0018134443325959
2019-07-13,11797.37,11835.87,10827.53,11363.97,59187.84,668325183.28,17816121.0449724,202461865071.435,-0.0374288012010121,0.0554556788143602,-0.0373298690495665,0.0440936351704895,0.0468517771433211,0.0580258534660946,-0.227207343744621,-0.1721417983349915,0.0123185951882116
2019-07-14,11363.97,11447.92,10118.85,10204.41,76310.21,814667763.32,17817933.5449724,181821499245.65182,-0.1076278442791341,0.2540906278446856,-0.1075261157488042,0.0535140341627985,0.0534719650198724,0.0612775575511176,0.1936284954650037,0.1321685576496467,0.0545250067983758
2019-07-15,10204.41,11070.18,9877.02,10850.26,92742.77,965178341.63,17819758.5449724,193349013350.17224,0.0613690630391977,0.1950230037360295,0.0614714826906716,0.0708552139069851,0.057793379213077,0.0620914836127527,0.2806946139103083,0.0777167243945877,0.0131951722001764
